29;3;[['194.791300', '706.040500', '233.568419', '716.976500', 'Hardened'], ['235.739687', '706.040500', '243.531168', '716.976500', 'to'], ['245.702435', '706.040500', '254.387507', '716.976500', '48'], ['256.558775', '706.040500', '273.043165', '716.976500', 'HRC'], ['275.214433', '706.040500', '294.677458', '716.976500', '+2/-0']]
30;3;[['58.373900', '729.416500', '97.870106', '740.352500', 'Concepts,'], ['100.031823', '729.416500', '140.948363', '740.352500', 'principales'], ['143.110079', '729.416500', '158.546455', '740.352500', 'and'], ['160.708172', '729.416500', '177.463428', '740.352500', 'rules'], ['179.625145', '729.416500', '219.433512', '740.352500', 'according'], ['221.595229', '729.416500', '231.514154', '740.352500', 'to:'], ['58.373900', '737.416500', '100.375683', '748.352500', 'Dimensions'], ['102.537024', '737.416500', '142.338453', '748.352500', 'according'], ['144.499794', '737.416500', '154.416990', '748.352500', 'to:'], ['58.373900', '745.416500', '99.034574', '756.352500', 'Tolerances'], ['101.196379', '745.416500', '108.758797', '756.352500', 'of'], ['110.920602', '745.416500', '130.314417', '756.352500', 'form,'], ['132.476222', '745.416500', '175.548441', '756.352500', 'orientation,'], ['177.710246', '745.416500', '208.841807', '756.352500', 'location'], ['211.003612', '745.416500', '226.440620', '756.352500', 'and'], ['228.602426', '745.416500', '257.712659', '756.352500', 'run-out:'], ['58.373900', '753.416500', '78.217548', '764.352500', 'Edge'], ['80.378196', '753.416500', '98.490205', '764.352500', 'finish'], ['100.650854', '753.416500', '140.439552', '764.352500', 'according'], ['142.600200', '753.416500', '152.514224', '764.352500', 'to:'], ['58.373900', '761.416500', '87.346542', '772.352500', 'Surface'], ['89.514989', '761.416500', '115.872969', '772.352500', 'texture'], ['118.041416', '761.416500', '157.973717', '772.352500', 'according'], ['160.142164', '761.416500', '170.091969', '772.352500', 'to:'], ['58.373900', '769.416500', '78.083368', '780.352500', 'Limits'], ['80.243844', '769.416500', '120.029359', '780.352500', 'according'], ['122.189834', '769.416500', '132.103065', '780.352500', 'to:'], ['58.373900', '777.416500', '72.949269', '788.352500', '16%'], ['75.093389', '777.416500', '90.853055', '788.352500', 'rule:'], ['58.127300', '788.640500', '84.912446', '799.576500', 'Quality'], ['87.071156', '788.640500', '124.174467', '799.576500', 'Standard:'], ['126.333176', '788.640500', '136.277269', '799.576500', 'EN'], ['138.435979', '788.640500', '160.023076', '799.576500', '10095']]
31;1;[['109.274200', '810.342500', '117.586701', '830.847500', '4']]
32;1;[['236.834200', '810.342500', '245.146701', '830.847500', '3']]
33;3;[['277.077900', '729.416500', '289.463781', '740.352500', 'ISO'], ['291.617509', '729.416500', '308.847335', '740.352500', '8015'], ['277.077900', '737.416500', '289.455650', '748.352500', 'ISO'], ['291.607965', '737.416500', '313.131108', '748.352500', '14405'], ['315.283423', '737.416500', '326.472349', '748.352500', '1-3'], ['277.077900', '745.416500', '289.235281', '756.352500', 'ISO'], ['291.349276', '745.416500', '308.261239', '756.352500', '1101'], ['277.077900', '753.416500', '289.366340', '764.352500', 'ISO'], ['291.503125', '753.416500', '312.870971', '764.352500', '13715'], ['277.077900', '761.416500', '289.468649', '772.352500', 'ISO'], ['291.623224', '761.416500', '308.859821', '772.352500', '1302'], ['277.077900', '769.416500', '289.565656', '780.352500', 'ISO'], ['291.737099', '769.416500', '311.711238', '780.352500', '286-2'], ['277.077900', '777.416500', '289.568633', '788.352500', 'not'], ['291.725698', '777.416500', '333.068156', '788.352500', 'applicable']]
34;3;[['340.730737', '708.103869', '373.945560', '715.853802', 'Designation:']]
35;3;[['385.899600', '715.331300', '451.820326', '748.139300', 'BEATE'], ['458.313940', '715.331300', '521.187122', '748.139300', 'GV12']]
36;1;[['568.469200', '748.797500', '579.573363', '769.302500', 'A']]
37;3;[['340.367901', '766.469312', '362.705884', '774.219245', 'Drawing'], ['364.236715', '766.469312', '372.332990', '774.219245', 'nr.:']]
38;3;[['340.367901', '803.563542', '356.535508', '811.313475', 'Scale:'], ['358.051050', '803.563542', '365.628761', '811.313475', '2:1']]
39;3;[['542.519200', '769.593300', '556.620596', '784.630300', 'A4']]
40;3;[['395.283600', '770.075300', '469.874211', '802.883300', 'GV_12']]
41;1;[['378.569200', '810.342500', '386.881701', '830.847500', '2']]
42;3;[['466.237700', '803.563542', '480.428674', '811.313475', 'Page'], ['481.941722', '803.563542', '490.380927', '811.313475', '1/1']]
43;1;[['506.129200', '810.342500', '514.441701', '830.847500', '1']]
